OPERADOR,ORIGEN,DESTINO,FECHA,LLEGAN,SALEN,TOTAL
LATAM AIRLINES GROUP,SANTIAGO,IQUIQUE,01-2022,29.493,30.416,59.909
LATAM AIRLINES GROUP,SANTIAGO,ANTOFAGASTA,01-2022,26.703,27.961,54.664
LATAM AIRLINES GROUP,SANTIAGO,PUERTO MONTT,01-2022,24.418,27.071,51.489
LATAM AIRLINES GROUP,SANTIAGO,PUNTA ARENAS,01-2022,22.957,19.620,42.577
LATAM AIRLINES GROUP,SANTIAGO,TEMUCO,01-2022,15.051,15.548,30.599
LATAM AIRLINES GROUP,SANTIAGO,CONCEPCION,01-2022,13.812,13.007,26.819
LATAM AIRLINES GROUP,SANTIAGO,CALAMA,01-2022,10.772,12.884,23.656
LATAM AIRLINES GROUP,SANTIAGO,ARICA,01-2022,10.872,10.413,21.285
LATAM AIRLINES GROUP,SANTIAGO,COPIAPO,01-2022,9.505,9.214,18.719
LATAM AIRLINES GROUP,SANTIAGO,LA SERENA,01-2022,8.290,8.480,16.770
LATAM AIRLINES GROUP,SANTIAGO,BALMACEDA,01-2022,5.593,6.375,11.968
LATAM AIRLINES GROUP,IQUIQUE,CONCEPCION,01-2022,5.400,5.085,10.485
LATAM AIRLINES GROUP,SANTIAGO,CASTRO,01-2022,4.005,4.266,8.271
LATAM AIRLINES GROUP,SANTIAGO,PUERTO NATALES,01-2022,3.596,3.489,7.085
LATAM AIRLINES GROUP,PUERTO MONTT,PUNTA ARENAS,01-2022,3.494,2.600,6.094
LATAM AIRLINES GROUP,SANTIAGO,OSORNO,01-2022,2.290,2.372,4.662
LATAM AIRLINES GROUP,ANTOFAGASTA,CONCEPCION,01-2022,2.162,1.748,3.910
LATAM AIRLINES GROUP,SANTIAGO,VALDIVIA,01-2022,1.869,1.890,3.759
LATAM AIRLINES GROUP,CONCEPCION,PUNTA ARENAS,01-2022,999,961,1.960
LATAM AIRLINES GROUP,PUERTO MONTT,BALMACEDA,01-2022,614,685,1.299
LATAM AIRLINES GROUP,CALAMA,LA SERENA,01-2022,275,619,894
LATAM AIRLINES GROUP,CONCEPCION,CALAMA,01-2022,182,174,356
LATAM AIRLINES GROUP,SANTIAGO,ISLA DE PASCUA,01-2022,116,53,169
LATAM AIRLINES GROUP,ANTOFAGASTA,LA SERENA,01-2022,0,0,0
LATAM AIRLINES GROUP,ANTOFAGASTA,CALAMA,01-2022,0,0,0
LATAM AIRLINES CHILE,SANTIAGO,CALAMA,01-2022,27.281,25.624,52.905
LATAM AIRLINES CHILE,SANTIAGO,PUERTO MONTT,01-2022,19.684,21.790,41.474
LATAM AIRLINES CHILE,SANTIAGO,CONCEPCION,01-2022,18.738,20.019,38.757
LATAM AIRLINES CHILE,SANTIAGO,ANTOFAGASTA,01-2022,17.867,15.565,33.432
LATAM AIRLINES CHILE,SANTIAGO,LA SERENA,01-2022,15.695,15.950,31.645
LATAM AIRLINES CHILE,SANTIAGO,TEMUCO,01-2022,14.814,15.667,30.481
LATAM AIRLINES CHILE,SANTIAGO,IQUIQUE,01-2022,14.580,11.385,25.965
